net,length_um
net188,629.1
_2093_,629.02
net105,623.93
_2083_,611.6
_2131_,569.28
net235,550.94
net197,549.31
net234,548.96
_2094_,529.1
_2011_,523.24
_2202_,515.61
_2087_,514.42
_2088_,505.57
_2172_,502.105
net554,498.795
_2085_,498.67
net261,495.97
_2193_,494.04
net274,489.66
_0444_,485.99
_2084_,481.75
_2122_,481.44
_2188_,479.46
_2101_,478.37
_1798_,474.9
net158,473.1
_0138_,471.39
net184,462.56
_2089_,458.125
net239,448.86
net176,445.95
net111,440.79
net132,433.76
net162,425.67
_2086_,424.69
_0514_,418.63
_2121_,417.76
_2144_,415.79
net502,415.405
_2102_,414.68
_2204_,413.85
net46,407.82
net501,406.68
net530,406.37
_2177_,405.95
net497,405.61
net490,405.6
net175,404.21
_1142_,402.4
net345,401.22
net171,395.06
_1645_,394.53
_0776_,392.26
net149,388.34
net45,387.42
net267,387.07
net281,385.95
net48,384.91
net47,383.28
clknet_0_clk,381.88
net140,377.68
net163,377.15
_2110_,375.84
net280,375.53
net201,375.18
net263,374.47
net56,374.23
_1617_,372.71
_0596_,371.52
net275,369.84
_0944_,369.64
net55,369.59
net236,368.38
_1695_,367.74
net269,361.8
net518,360.4
_0822_,354.16
_2187_,352.74
net232,351.48
net4,350.34
net52,350.34
net272,350.31
_0980_,349.16
net266,348.7
net203,348.64
net54,347.32
net208,345.07
net286,343.05
_1124_,342.47
net568,342.37
net51,342.36
net198,341.6
net3,341.45
net50,339.39
_1859_,339
net553,336.58
net139,335.15
net303,334.94
_1201_,334.88
net268,334.82
clk,334.29
net209,332.99
net53,330.12
net238,330.11
net49,330.03
net42,328.2
net6,328.02
_1671_,326.88
net179,325.26
net230,324.86
net489,324.76
_1331_,322.1
_1390_,321.42
net44,321.08
net299,319.6
_1295_,319.52
net183,317.76
net41,317.73
net491,317.18
net270,316.12
net20,315.44
_1421_,314.8
net207,313.74
net277,313.58
net135,312.57
net180,311.97
net172,310.76
net124,308.82
net279,307.9
net2,306.525
net43,305.46
net304,305.37
net196,304.22
net276,303.88
net488,303.6
net5,301.86
net19,301.46
net181,300.31
net145,299.18
net8,298.96
net200,298.94
_1742_,298.31
net283,297.78
net16,297.7
net25,297.46
net192,296.06
net206,295.78
net265,295.22
net231,294.78
net222,294.3
net133,294.26
net487,293.98
net264,293
net323,292.98
net119,291.72
net482,290.99
net205,290.88
net334,290.52
_2244_,290.16
net190,288.09
net237,287.68
net221,287.38
net21,287.34
net278,287.1
net137,286.4
_1338_,286.23
net485,282.94
_1809_,280.69
net195,280.46
net306,280.01
net301,279.5
net542,278.44
net305,276.99
net481,276.93
net193,276.78
net22,276.035
net138,275.7
net199,275.33
net123,274.2
net486,274.01
net9,273.22
net298,272.41
net106,270.96
net284,270.92
_2149_,270.24
net309,269.46
net562,268.93
net494,267.98
net24,265.4
net308,264.42
_1012_,263.24
_1035_,262.32
net1,262.3
net223,262.24
net10,261.44
_2056_,261.22
net526,260.84
_0534_,260.82
_1223_,260.54
_2226_,260.28
net529,259.87
net185,257.79
net150,257.37
net17,255.98
net310,255.58
net535,252.23
net125,251.7
_0208_,251.35
net72,249.83
net371,249.26
net282,247.61
net538,247.46
_1460_,246.86
net255,246.3
net257,245.02
net311,244.88
net259,244.1
net254,243.88
_2207_,243.86
net7,243.86
net18,242.58
net374,242.4
net362,242.1
net189,241.96
net228,241.56
net71,241.45
